"fy_ef","org_id","org_name","voted_or_statutory","description","authorities","expenditures"
"FY 2011-12",46,"Canada Revenue Agency","S","Payments under the Energy Costs Assistance Measures Act",1496.00,1496.06
"FY 2011-12",46,"Canada Revenue Agency","S","Salary and Motor Car Allowance",77536.00,77536.36
"FY 2011-12",46,"Canada Revenue Agency","S","Spending of proceeds from the disposal of surplus Crown assets",165406.00,165405.99
"FY 2011-12",46,"Canada Revenue Agency","S","Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act",245459473.00,245459472.60
"FY 2011-12",47,"Canada School of Public Service",40,"Operating/Program",56799797.00,50373377.00
"FY 2011-12",47,"Canada School of Public Service","S","Contributions to employee benefit plans",11788861.00,11788861.36
"FY 2011-12",47,"Canada School of Public Service","S","Refunds of amounts credited to revenues in previous years",525616.00,525616.15
"FY 2011-12",47,"Canada School of Public Service","S","Spending of proceeds from the disposal of surplus Crown assets",11497.00,1300.34
"FY 2011-12",47,"Canada School of Public Service","S","Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act",91004028.00,63251671.57
"FY 2011-12",51,"Canadian Air Transport Security Authority",20,"Payments to Crown Corps",582727000.00,515006000.00
"FY 2011-12",52,"Canadian Artists and Producers Professional Relations Tribunal",20,"Operating/Program",2023420.00,1150256.00
"FY 2011-12",52,"Canadian Artists and Producers Professional Relations Tribunal","S","Contributions to employee benefit plans",132936.00,132935.83
"FY 2011-12",53,"Canadian Broadcasting Corporation",15,"Payments to Crown Corps",1028047060.00,1028047060.00
"FY 2011-12",53,"Canadian Broadcasting Corporation",20,"Payments to Crown Corps",4000000.00,4000000.00
"FY 2011-12",53,"Canadian Broadcasting Corporation",25,"Payments to Crown Corps",102272000.00,102272000.00
"FY 2011-12",55,"Canadian Centre for Occupational Health and Safety",25,"Operating/Program",5203781.00,4166331.00
"FY 2011-12",55,"Canadian Centre for Occupational Health and Safety","S","Contributions to employee benefit plans",1123993.00,1123993.09
"FY 2011-12",58,"Canadian Commercial Corporation",20,"Payments to Crown Corps",15481540.00,15481540.00
"FY 2011-12",61,"Canadian Dairy Commission",15,"Operating/Program",4479524.00,4479524.00
"FY 2011-12",63,"Impact Assessment Agency of Canada",15,"Operating/Program",31959563.00,26426963.00
"FY 2011-12",63,"Impact Assessment Agency of Canada","S","Contributions to employee benefit plans",3131526.00,3131526.20
"FY 2011-12",63,"Impact Assessment Agency of Canada","S","Spending of proceeds from the disposal of surplus Crown assets",963.00,0.00
"FY 2011-12",65,"Canadian Food Inspection Agency",20,"Operating/Program",617230647.00,579207923.00
"FY 2011-12",65,"Canadian Food Inspection Agency",25,"Capital",29208522.00,13755212.00
"FY 2011-12",65,"Canadian Food Inspection Agency","S","Collection Agency Fees",2382.00,2382.01
"FY 2011-12",65,"Canadian Food Inspection Agency","S","Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",4223367.00,4223366.76
"FY 2011-12",65,"Canadian Food Inspection Agency","S","Contributions to employee benefit plans",84443586.00,84443585.93
"FY 2011-12",65,"Canadian Food Inspection Agency","S","Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act",58834871.00,55851348.69
"FY 2011-12",65,"Canadian Food Inspection Agency","S","Spending of proceeds from the disposal of surplus Crown assets",461653.00,212539.22
"FY 2011-12",69,"Canadian Grain Commission",30,"Operating/Program",35237639.00,35237639.00
"FY 2011-12",69,"Canadian Grain Commission","S","Canadian Grain Commission Revolving Fund",38606742.00,-1098073.30
"FY 2011-12",69,"Canadian Grain Commission","S","Contributions to employee benefit plans",622222.00,622221.96
"FY 2011-12",69,"Canadian Grain Commission","S","Spending of proceeds from the disposal of surplus Crown assets",58224.00,58224.21
"FY 2011-12",71,"Canadian Human Rights Commission",10,"Operating/Program",22895397.00,21457760.00
"FY 2011-12",71,"Canadian Human Rights Commission","S","Contributions to employee benefit plans",2804563.00,2804563.09
"FY 2011-12",72,"Canadian Human Rights Tribunal",15,"Operating/Program",5237948.00,4901909.00
"FY 2011-12",72,"Canadian Human Rights Tribunal","S","Contributions to employee benefit plans",337885.00,337884.75
"FY 2011-12",74,"Canadian Institutes of Health Research",20,"Operating/Program",55908451.00,51699069.00
"FY 2011-12",74,"Canadian Institutes of Health Research",25,"Grants & Contributions",952647336.00,950729984.00
"FY 2011-12",74,"Canadian Institutes of Health Research","S","Contributions to employee benefit plans",6662339.00,6662339.49
"FY 2011-12",74,"Canadian Institutes of Health Research","S","Spending of proceeds from the disposal of surplus Crown assets",10692.00,0.00
"FY 2011-12",76,"Canadian Intergovernmental Conference Secretariat",5,"Operating/Program",6639760.00,5227416.00
"FY 2011-12",76,"Canadian Intergovernmental Conference Secretariat","S","Contributions to employee benefit plans",333196.00,333196.08
"FY 2011-12",76,"Canadian Intergovernmental Conference Secretariat","S","Spending of proceeds from the disposal of surplus Crown assets",143.00,0.00
"FY 2011-12",77,"Canadian International Development Agency",25,"Operating/Program",219963373.00,211491438.00
"FY 2011-12",77,"Canadian International Development Agency",30,"Grants & Contributions",3319155947.00,3278588220.00
"FY 2011-12",77,"Canadian International Development Agency","S","Advance Market Commitment for Pneumococcal Vaccines",22926021.00,22926020.58
"FY 2011-12",77,"Canadian International Development Agency","S","Collection Agency Fees",258.00,258.11
"FY 2011-12",77,"Canadian International Development Agency","S","Contributions to employee benefit plans",26955888.00,26955887.59
"FY 2011-12",77,"Canadian International Development Agency","S","Losses on Foreign Exchange",20088735.00,20088734.94
"FY 2011-12",77,"Canadian International Development Agency","S","Payments to International Financial Institutions - Direct payments",285582426.00,285582426.30
"FY 2011-12",77,"Canadian International Development Agency","S","Pursuant to section 24.1 of the Financial Administration Act, to forgive an amount up to $449,533,044 owed by the Government of the Islamic Republic of Pakistan, in relation to loan agreements, subject to the conditions described in the Memorandum of Understanding signed on April 20, 2006 between the Government of Canada and the Government of the Islamic Republic of Pakistan",384594510.00,81546151.07
"FY 2011-12",77,"Canadian International Development Agency","S","Salary and Motor Car Allowance",77536.00,77536.36
"FY 2011-12",77,"Canadian International Development Agency","S","Spending of proceeds from the disposal of surplus Crown assets",6874.00,6874.23
"FY 2011-12",79,"Canadian International Trade Tribunal",25,"Operating/Program",11372978.00,9328928.00
"FY 2011-12",79,"Canadian International Trade Tribunal","S","Contributions to employee benefit plans",1199978.00,1199977.57
"FY 2011-12",79,"Canadian International Trade Tribunal","S","Spending of proceeds from the disposal of surplus Crown assets",334.00,0.00
"FY 2011-12",81,"Canadian Museum for Human Rights",30,"Payments to Crown Corps",31798633.00,21798633.00
"FY 2011-12",82,"Canadian Museum of History",35,"Payments to Crown Corps",65198130.00,65198130.00
"FY 2011-12",84,"Canadian Museum of Immigration at Pier 21",37,"Payments to Crown Corps",9974440.00,9974440.00
"FY 2011-12",84,"Canadian Museum of Immigration at Pier 21","S","Payment to the Canadian Museum of Immigration at Pier 21",3850160.00,3850160.00
"FY 2011-12",85,"Canadian Museum of Nature",40,"Payments to Crown Corps",28591766.00,28591766.00
"FY 2011-12",86,"Canadian Northern Economic Development Agency",27,"Operating/Program",17237930.00,15399923.00
"FY 2011-12",86,"Canadian Northern Economic Development Agency",29,"Grants & Contributions",32754757.00,31992730.00
"FY 2011-12",86,"Canadian Northern Economic Development Agency","S","Contributions to employee benefit plans",1207038.00,1207037.69
"FY 2011-12",87,"Canadian Nuclear Safety Commission",20,"Operating/Program",43431269.00,39864044.00
"FY 2011-12",87,"Canadian Nuclear Safety Commission","S","Contributions to employee benefit plans",14459933.00,14459932.90
"FY 2011-12",87,"Canadian Nuclear Safety Commission","S","Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act",84003440.00,81733688.72
"FY 2011-12",87,"Canadian Nuclear Safety Commission","S","Spending of proceeds from the disposal of surplus Crown assets",24002.00,11498.00
"FY 2011-12",93,"Canadian Radio-television and Telecommunications Commission",45,"Operating/Program",18803355.00,9245829.00
"FY 2011-12",93,"Canadian Radio-television and Telecommunications Commission","S","Contributions to employee benefit plans",6436734.00,6436733.50
"FY 2011-12",93,"Canadian Radio-television and Telecommunications Commission","S","Spending of proceeds from the disposal of surplus Crown assets",3822.00,387.37
"FY 2011-12",94,"Canadian Security Intelligence Service",20,"Operating/Program",523634140.00,491177125.00
"FY 2011-12",94,"Canadian Security Intelligence Service","S","Contributions to employee benefit plans",48450953.00,48450953.24
"FY 2011-12",94,"Canadian Security Intelligence Service","S","Spending of proceeds from the disposal of surplus Crown assets",529542.00,257618.93
"FY 2011-12",95,"Canadian Space Agency",25,"Operating/Program",253795707.00,247901692.00
"FY 2011-12",95,"Canadian Space Agency",30,"Capital",118662700.00,102802846.00
"FY 2011-12",95,"Canadian Space Agency",35,"Grants & Contributions",58159001.00,47041048.00
"FY 2011-12",95,"Canadian Space Agency","S","Contributions to employee benefit plans",11360112.00,11360112.37
"FY 2011-12",95,"Canadian Space Agency","S","Spending of proceeds from the disposal of surplus Crown assets",40365.00,29817.02
"FY 2011-12",97,"Canadian Tourism Commission",40,"Payments to Crown Corps",82033976.00,82033975.00
"FY 2011-12",98,"Canadian Transportation Accident Investigation and Safety Board",10,"Operating/Program",29582943.00,28230467.00
"FY 2011-12",98,"Canadian Transportation Accident Investigation and Safety Board","S","Contributions to employee benefit plans",3485605.00,3485604.75
"FY 2011-12",98,"Canadian Transportation Accident Investigation and Safety Board","S","Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act",35700.00,35700.00
"FY 2011-12",98,"Canadian Transportation Accident Investigation and Safety Board","S","Spending of proceeds from the disposal of surplus Crown assets",57351.00,42009.38
"FY 2011-12",99,"Canadian Transportation Agency",25,"Operating/Program",27019920.00,25846976.00
"FY 2011-12",99,"Canadian Transportation Agency","S","Contributions to employee benefit plans",3460547.00,3460546.67
"FY 2011-12",99,"Canadian Transportation Agency","S","Spending of proceeds from the disposal of surplus Crown assets",932.00,163.50
"FY 2011-12",110,"Communications Security Establishment",17,"Operating/Program",272156314.00,239420258.00
"FY 2011-12",110,"Communications Security Establishment","S","Contributions to employee benefit plans",12436322.00,12436321.80
"FY 2011-12",110,"Communications Security Establishment","S","Spending of proceeds from the disposal of surplus Crown assets",5860.00,0.00
"FY 2011-12",114,"Copyright Board",45,"Operating/Program",2815245.00,2291651.00
"FY 2011-12",114,"Copyright Board","S","Contributions to employee benefit plans",249622.00,249622.56
"FY 2011-12",117,"Correctional Service of Canada",25,"Operating/Program",2372541738.00,2075159200.00
"FY 2011-12",117,"Correctional Service of Canada",30,"Capital",567551977.00,345327345.00
"FY 2011-12",117,"Correctional Service of Canada","S","CORCAN Revolving Fund",14844679.00,8104265.51
"FY 2011-12",117,"Correctional Service of Canada","S","Contributions to employee benefit plans",236931070.00,236931069.80
"FY 2011-12",117,"Correctional Service of Canada","S","Spending of proceeds from the disposal of surplus Crown assets",2649098.00,1332226.22
"FY 2011-12",118,"Courts Administration Service",30,"Operating/Program",71518518.00,66072269.00
"FY 2011-12",118,"Courts Administration Service","S","Contributions to employee benefit plans",7146038.00,7146038.50
"FY 2011-12",118,"Courts Administration Service","S","Refunds of amounts credited to revenues in previous years",31.00,31.27
"FY 2011-12",118,"Courts Administration Service","S","Spending of proceeds from the disposal of surplus Crown assets",12009.00,4074.00
"FY 2011-12",122,"Department of Canadian Heritage",1,"Operating/Program",223279931.00,205669691.00
"FY 2011-12",122,"Department of Canadian Heritage",5,"Grants & Contributions",1089045219.00,1071847979.00
"FY 2011-12",122,"Department of Canadian Heritage","S","Contributions to employee benefit plans",25811435.00,25811434.80
"FY 2011-12",122,"Department of Canadian Heritage","S","Payments under the Lieutenant Governors Superannuation Act",879770.00,879770.31
"FY 2011-12",122,"Department of Canadian Heritage","S","Salaries of the Lieutenant Governors",1262408.00,1262407.92
"FY 2011-12",122,"Department of Canadian Heritage","S","Salary and Motor Car Allowance",79551.00,79551.01
"FY 2011-12",122,"Department of Canadian Heritage","S","Spending of proceeds from the disposal of surplus Crown assets",2749435.00,2737806.23
"FY 2011-12",122,"Department of Canadian Heritage","S","Supplementary retirement benefits - Former Lieutenant Governors",203264.00,203263.99
"FY 2011-12",123,"Department of Citizenship and Immigration",1,"Operating/Program",604916309.00,569530870.00
"FY 2011-12",123,"Department of Citizenship and Immigration",5,"Grants & Contributions",966286199.00,948590233.00
"FY 2011-12",123,"Department of Citizenship and Immigration",7,"Debt Forgiveness",1709358.00,1684523.00
"FY 2011-12",123,"Department of Citizenship and Immigration","S","Contributions to employee benefit plans",57968568.00,57968567.98
"FY 2011-12",123,"Department of Citizenship and Immigration","S","Court Awards",113983.00,113983.51
"FY 2011-12",123,"Department of Citizenship and Immigration","S","Refunds of amounts credited to revenues in previous years",5504249.00,5504249.00
"FY 2011-12",123,"Department of Citizenship and Immigration","S","Salary and Motor Car Allowance",77536.00,77536.36
"FY 2011-12",123,"Department of Citizenship and Immigration","S","Spending of proceeds from the disposal of surplus Crown assets",35336.00,20784.58
"FY 2011-12",124,"Department of Finance",1,"Operating/Program",133205840.00,121904779.00
"FY 2011-12",124,"Department of Finance",5,"Grants & Contributions",173194063.00,29535038.00
"FY 2011-12",124,"Department of Finance",7,"Other",1.00,0.00
"FY 2011-12",124,"Department of Finance","S","Additional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act)",33695000.00,33695000.00
"FY 2011-12",124,"Department of Finance","S","Additional Fiscal Equalization Payment - Total Transfer Protection (Economic Action Plan 2013 Act, No. 1, Section 111, which amends Part I of the Federal-Provincial Fiscal Arrangements Act)",952107000.00,952107000.00
"FY 2011-12",124,"Department of Finance","S","Additional fiscal equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act)",82678000.00,82678000.00
"FY 2011-12",124,"Department of Finance","S","Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)",-3219731000.00,-3219731000.00
"FY 2011-12",124,"Department of Finance","S","Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)",26941815102.00,26941815102.00
"FY 2011-12",124,"Department of Finance","S","Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)",11514064000.00,11514064000.00
"FY 2011-12",124,"Department of Finance","S","Canadian Securities Regulation Regime Transition Office (Canadian Securities Regulation Regime Transition Office Act)",14345000.00,14345000.00
"FY 2011-12",124,"Department of Finance","S","Contributions to employee benefit plans",12608648.00,12608647.76
"FY 2011-12",124,"Department of Finance","S","Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act",51200000.00,51200000.00
"FY 2011-12",124,"Department of Finance","S","Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act)",14658570000.00,14658570000.00
"FY 2011-12",124,"Department of Finance","S","Incentive for provinces to eliminate taxes on capital (Part IV Federal-Provincial Fiscal Arrangements Act)",845100.00,845100.00
"FY 2011-12",124,"Department of Finance","S","Interest on Unmatured Debt",27881332474.00,27881332474.00
"FY 2011-12",124,"Department of Finance","S","Losses on Foreign Exchange",18173873.00,18173872.92
"FY 2011-12",124,"Department of Finance","S","Payment of liabilities previously recorded as revenue",14081367.00,14081366.92
"FY 2011-12",124,"Department of Finance","S","Payment to Ontario related to the Canada Health Transfer (Budget Implementation Act,2009)",-17984000.00,-17984000.00
"FY 2011-12",124,"Department of Finance","S","Payment to the International Bank for reconstruction and development for the Agriculture Advance Market commitment (Bretton Woods and Related Agreements Act, section 8)",9000000.00,9000000.00
"FY 2011-12",124,"Department of Finance","S","Payments to International Development Association",384280000.00,384280000.00
"FY 2011-12",124,"Department of Finance","S","Payments to depositors of Canadian Commercial Bank, CCB Mortgage Investment Corporation and Northland Bank pursuant to the Financial Institutions Depositors Compensation Act",68571831.00,0.00
"FY 2011-12",124,"Department of Finance","S","Payments to provinces regarding sales tax harmonization (Part III,I -Federal-Provincial Fiscal Arrangements Act)",1560200000.00,1560200000.00
"FY 2011-12",124,"Department of Finance","S","Purchase of Domestic Coinage",114368880.00,114368880.50
"FY 2011-12",124,"Department of Finance","S","Salary and Motor Car Allowance",79557.00,79557.00
"FY 2011-12",124,"Department of Finance","S","Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",32148628.00,32148628.44
"FY 2011-12",124,"Department of Finance","S","Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act)",2876083006.00,2876083006.00
"FY 2011-12",124,"Department of Finance","S","Transitional Payment to Newfoundland and Labrador (Nova Scotia and Newfoundland and Labrador additional fiscal equalization offset payments act)",536121000.00,536121000.00
"FY 2011-12",124,"Department of Finance","S","Wait Times Reduction Transfer (PartV.1) Federal-Provincial Fiscal Arrangements Act)",250000000.00,250000000.00
"FY 2011-12",124,"Department of Finance","S","Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-709591452.00,-709591452.00
"FY 2011-12",125,"Department of Fisheries and Oceans",1,"Operating/Program",1385820549.00,1313593490.00
"FY 2011-12",125,"Department of Fisheries and Oceans",10,"Grants & Contributions",129472358.00,128647360.00
"FY 2011-12",125,"Department of Fisheries and Oceans",5,"Capital",366802585.00,299588070.00
"FY 2011-12",125,"Department of Fisheries and Oceans","S","Contributions to employee benefit plans",133859117.00,133859116.70
"FY 2011-12",125,"Department of Fisheries and Oceans","S","Losses on Foreign Exchange",15934.00,15933.74
"FY 2011-12",125,"Department of Fisheries and Oceans","S","Refunds of amounts credited to revenues in previous years",10005.00,10005.00
"FY 2011-12",125,"Department of Fisheries and Oceans","S","Salary and Motor Car Allowance",77536.00,77536.36
"FY 2011-12",125,"Department of Fisheries and Oceans","S","Spending of proceeds from the disposal of surplus Crown assets",8884113.00,5091254.49
"FY 2011-12",126,"Department of Foreign Affairs, Trade and Development",1,"Operating/Program",1455482132.00,1358450363.00
"FY 2011-12",126,"Department of Foreign Affairs, Trade and Development",10,"Grants & Contributions",899458883.00,781849465.00
"FY 2011-12",126,"Department of Foreign Affairs, Trade and Development",15,"Other",2.00,0.00
"FY 2011-12",126,"Department of Foreign Affairs, Trade and Development",17,"Operating/Program",70140001.00,59841306.00
"FY 2011-12",126,"Department of Foreign Affairs, Trade and Development",5,"Capital",227740097.00,167282401.00
"FY 2011-12",126,"Department of Foreign Affairs, Trade and Development","S","Collection Agency Fees",189.00,188.88
"FY 2011-12",126,"Department of Foreign Affairs, Trade and Development","S","Contributions to employee benefit plans",90041655.00,90041654.63
"FY 2011-12",126,"Department of Foreign Affairs, Trade and Development","S","Court Awards",2434.00,2434.29
"FY 2011-12",126,"Department of Foreign Affairs, Trade and Development","S","Losses on Foreign Exchange",2206688.00,2206687.71
"FY 2011-12",126,"Department of Foreign Affairs, Trade and Development","S","Passport Canada Revolving Fund (Revolving Funds Act)",158349186.00,19528819.00
"FY 2011-12",126,"Department of Foreign Affairs, Trade and Development","S","Payments under the Diplomatic Service (Special) Superannuation Act",87774.00,87774.24
"FY 2011-12",126,"Department of Foreign Affairs, Trade and Development","S","Salary and Motor Car Allowance",157093.00,157093.00
"FY 2011-12",126,"Department of Foreign Affairs, Trade and Development","S","Spending of proceeds from the disposal of surplus Crown assets",3179280.00,3017379.30
"FY 2011-12",127,"Department of Health",1,"Operating/Program",2130078529.00,2016186192.00
"FY 2011-12",127,"Department of Health",10,"Grants & Contributions",1536542909.00,1511881318.00
"FY 2011-12",127,"Department of Health",5,"Capital",35096306.00,32940862.00
"FY 2011-12",127,"Department of Health","S","Canada Health Infoway Inc.",87880640.00,87880640.00
"FY 2011-12",127,"Department of Health","S","Collection Agency Fees",12919.00,12918.99
"FY 2011-12",127,"Department of Health","S","Contributions to employee benefit plans",136483945.00,136483945.30
"FY 2011-12",127,"Department of Health","S","Court Awards",25909.00,25909.28
"FY 2011-12",127,"Department of Health","S","Refunds of amounts credited to revenues in previous years",687771.00,687770.82
"FY 2011-12",127,"Department of Health","S","Salary and Motor Car Allowance",77536.00,77536.36
