fy_ef,org_id,org_name,voted_or_statutory,description,authorities,expenditures
FY 2011-12,95,Canadian Space Agency,35,Grants & Contributions,58159001,47041048
FY 2011-12,95,Canadian Space Agency,S,Contributions to employee benefit plans,11360112,11360112.37
FY 2011-12,95,Canadian Space Agency,S,Spending of proceeds from the disposal of surplus Crown assets,40365,29817.02
FY 2011-12,97,Canadian Tourism Commission,40,Payments to Crown Corps,82033976,82033975
FY 2011-12,98,Canadian Transportation Accident Investigation and Safety Board,10,Operating/Program,29582943,28230467
FY 2011-12,98,Canadian Transportation Accident Investigation and Safety Board,S,Contributions to employee benefit plans,3485605,3485604.75
FY 2011-12,98,Canadian Transportation Accident Investigation and Safety Board,S,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,35700,35700
FY 2011-12,98,Canadian Transportation Accident Investigation and Safety Board,S,Spending of proceeds from the disposal of surplus Crown assets,57351,42009.38
FY 2011-12,99,Canadian Transportation Agency,25,Operating/Program,27019920,25846976
FY 2011-12,99,Canadian Transportation Agency,S,Contributions to employee benefit plans,3460547,3460546.67
FY 2011-12,99,Canadian Transportation Agency,S,Spending of proceeds from the disposal of surplus Crown assets,932,163.5
FY 2011-12,110,Communications Security Establishment,17,Operating/Program,272156314,239420258
FY 2011-12,110,Communications Security Establishment,S,Contributions to employee benefit plans,12436322,12436321.8
FY 2011-12,110,Communications Security Establishment,S,Spending of proceeds from the disposal of surplus Crown assets,5860,0
FY 2011-12,114,Copyright Board,45,Operating/Program,2815245,2291651
FY 2011-12,114,Copyright Board,S,Contributions to employee benefit plans,249622,249622.56
FY 2011-12,117,Correctional Service of Canada,25,Operating/Program,2372541738,2075159200
FY 2011-12,117,Correctional Service of Canada,30,Capital,567551977,345327345
FY 2011-12,117,Correctional Service of Canada,S,CORCAN Revolving Fund,14844679,8104265.51
FY 2011-12,117,Correctional Service of Canada,S,Contributions to employee benefit plans,236931070,236931069.8
FY 2011-12,117,Correctional Service of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,2649098,1332226.22
FY 2011-12,118,Courts Administration Service,30,Operating/Program,71518518,66072269
FY 2011-12,118,Courts Administration Service,S,Contributions to employee benefit plans,7146038,7146038.5
FY 2011-12,118,Courts Administration Service,S,Refunds of amounts credited to revenues in previous years,31,31.27
FY 2011-12,118,Courts Administration Service,S,Spending of proceeds from the disposal of surplus Crown assets,12009,4074
FY 2011-12,122,Department of Canadian Heritage,1,Operating/Program,223279931,205669691
FY 2011-12,122,Department of Canadian Heritage,5,Grants & Contributions,1089045219,1071847979
FY 2011-12,122,Department of Canadian Heritage,S,Contributions to employee benefit plans,25811435,25811434.8
FY 2011-12,122,Department of Canadian Heritage,S,Payments under the Lieutenant Governors Superannuation Act,879770,879770.31
FY 2011-12,122,Department of Canadian Heritage,S,Salaries of the Lieutenant Governors,1262408,1262407.92
FY 2011-12,122,Department of Canadian Heritage,S,Salary and Motor Car Allowance,79551,79551.01
FY 2011-12,122,Department of Canadian Heritage,S,Spending of proceeds from the disposal of surplus Crown assets,2749435,2737806.23
FY 2011-12,122,Department of Canadian Heritage,S,Supplementary retirement benefits - Former Lieutenant Governors,203264,203263.99
FY 2011-12,123,Department of Citizenship and Immigration,1,Operating/Program,604916309,569530870
FY 2011-12,123,Department of Citizenship and Immigration,5,Grants & Contributions,966286199,948590233
FY 2011-12,123,Department of Citizenship and Immigration,7,Debt Forgiveness,1709358,1684523
FY 2011-12,123,Department of Citizenship and Immigration,S,Contributions to employee benefit plans,57968568,57968567.98
FY 2011-12,123,Department of Citizenship and Immigration,S,Court Awards,113983,113983.51
FY 2011-12,123,Department of Citizenship and Immigration,S,Refunds of amounts credited to revenues in previous years,5504249,5504249
FY 2011-12,123,Department of Citizenship and Immigration,S,Salary and Motor Car Allowance,77536,77536.36
FY 2011-12,123,Department of Citizenship and Immigration,S,Spending of proceeds from the disposal of surplus Crown assets,35336,20784.58
FY 2011-12,124,Department of Finance,1,Operating/Program,133205840,121904779
FY 2011-12,124,Department of Finance,5,Grants & Contributions,173194063,29535038
FY 2011-12,124,Department of Finance,7,Other,1,0
FY 2011-12,124,Department of Finance,S,Additional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act),33695000,33695000
FY 2011-12,124,Department of Finance,S,"Additional Fiscal Equalization Payment - Total Transfer Protection (Economic Action Plan 2013 Act, No. 1, Section 111, which amends Part I of the Federal-Provincial Fiscal Arrangements Act)",952107000,952107000
FY 2011-12,124,Department of Finance,S,Additional fiscal equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act),82678000,82678000
FY 2011-12,124,Department of Finance,S,Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act),-3219731000,-3219731000
FY 2011-12,124,Department of Finance,S,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),26941815102,26941815102
FY 2011-12,124,Department of Finance,S,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),11514064000,11514064000
FY 2011-12,124,Department of Finance,S,Canadian Securities Regulation Regime Transition Office (Canadian Securities Regulation Regime Transition Office Act),14345000,14345000
FY 2011-12,124,Department of Finance,S,Contributions to employee benefit plans,12608648,12608647.76
FY 2011-12,124,Department of Finance,S,Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act,51200000,51200000
FY 2011-12,124,Department of Finance,S,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),14658570000,14658570000
FY 2011-12,124,Department of Finance,S,Incentive for provinces to eliminate taxes on capital (Part IV Federal-Provincial Fiscal Arrangements Act),845100,845100
FY 2011-12,124,Department of Finance,S,Interest on Unmatured Debt,27881332474,27881332474
FY 2011-12,124,Department of Finance,S,Losses on Foreign Exchange,18173873,18173872.92
FY 2011-12,124,Department of Finance,S,Payment of liabilities previously recorded as revenue,14081367,14081366.92
FY 2011-12,124,Department of Finance,S,"Payment to Ontario related to the Canada Health Transfer (Budget Implementation Act,2009)",-17984000,-17984000
FY 2011-12,124,Department of Finance,S,"Payment to the International Bank for reconstruction and development for the Agriculture Advance Market commitment (Bretton Woods and Related Agreements Act, section 8)",9000000,9000000
FY 2011-12,124,Department of Finance,S,Payments to International Development Association,384280000,384280000
FY 2011-12,124,Department of Finance,S,"Payments to depositors of Canadian Commercial Bank, CCB Mortgage Investment Corporation and Northland Bank pursuant to the Financial Institutions Depositors Compensation Act",68571831,0
FY 2011-12,124,Department of Finance,S,"Payments to provinces regarding sales tax harmonization (Part III,I -Federal-Provincial Fiscal Arrangements Act)",1560200000,1560200000
FY 2011-12,124,Department of Finance,S,Purchase of Domestic Coinage,114368880,114368880.5
FY 2011-12,124,Department of Finance,S,Salary and Motor Car Allowance,79557,79557
FY 2011-12,124,Department of Finance,S,"Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",32148628,32148628.44
FY 2011-12,124,Department of Finance,S,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),2876083006,2876083006
FY 2011-12,124,Department of Finance,S,Transitional Payment to Newfoundland and Labrador (Nova Scotia and Newfoundland and Labrador additional fiscal equalization offset payments act),536121000,536121000
FY 2011-12,124,Department of Finance,S,Wait Times Reduction Transfer (PartV.1) Federal-Provincial Fiscal Arrangements Act),250000000,250000000
FY 2011-12,124,Department of Finance,S,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-709591452,-709591452
FY 2011-12,125,Department of Fisheries and Oceans,1,Operating/Program,1385820549,1313593490
FY 2011-12,125,Department of Fisheries and Oceans,10,Grants & Contributions,129472358,128647360
FY 2011-12,125,Department of Fisheries and Oceans,5,Capital,366802585,299588070
FY 2011-12,125,Department of Fisheries and Oceans,S,Contributions to employee benefit plans,133859117,133859116.7
FY 2011-12,125,Department of Fisheries and Oceans,S,Losses on Foreign Exchange,15934,15933.74
FY 2011-12,125,Department of Fisheries and Oceans,S,Refunds of amounts credited to revenues in previous years,10005,10005
FY 2011-12,125,Department of Fisheries and Oceans,S,Salary and Motor Car Allowance,77536,77536.36
FY 2011-12,125,Department of Fisheries and Oceans,S,Spending of proceeds from the disposal of surplus Crown assets,8884113,5091254.49
FY 2011-12,126,"Department of Foreign Affairs, Trade and Development",1,Operating/Program,1455482132,1358450363
FY 2011-12,126,"Department of Foreign Affairs, Trade and Development",10,Grants & Contributions,899458883,781849465
FY 2011-12,126,"Department of Foreign Affairs, Trade and Development",15,Other,2,0
FY 2011-12,126,"Department of Foreign Affairs, Trade and Development",17,Operating/Program,70140001,59841306
FY 2011-12,126,"Department of Foreign Affairs, Trade and Development",5,Capital,227740097,167282401
FY 2011-12,126,"Department of Foreign Affairs, Trade and Development",S,Collection Agency Fees,189,188.88
FY 2011-12,126,"Department of Foreign Affairs, Trade and Development",S,Contributions to employee benefit plans,90041655,90041654.63
FY 2011-12,126,"Department of Foreign Affairs, Trade and Development",S,Court Awards,2434,2434.29
FY 2011-12,126,"Department of Foreign Affairs, Trade and Development",S,Losses on Foreign Exchange,2206688,2206687.71
FY 2011-12,126,"Department of Foreign Affairs, Trade and Development",S,Passport Canada Revolving Fund (Revolving Funds Act),158349186,19528819
FY 2011-12,126,"Department of Foreign Affairs, Trade and Development",S,Payments under the Diplomatic Service (Special) Superannuation Act,87774,87774.24
FY 2011-12,126,"Department of Foreign Affairs, Trade and Development",S,Salary and Motor Car Allowance,157093,157093
FY 2011-12,126,"Department of Foreign Affairs, Trade and Development",S,Spending of proceeds from the disposal of surplus Crown assets,3179280,3017379.3
FY 2011-12,127,Department of Health,1,Operating/Program,2130078529,2016186192
FY 2011-12,127,Department of Health,10,Grants & Contributions,1536542909,1511881318
FY 2011-12,127,Department of Health,5,Capital,35096306,32940862
FY 2011-12,127,Department of Health,S,Canada Health Infoway Inc.,87880640,87880640
FY 2011-12,127,Department of Health,S,Collection Agency Fees,12919,12918.99
FY 2011-12,127,Department of Health,S,Contributions to employee benefit plans,136483945,136483945.3
FY 2011-12,127,Department of Health,S,Court Awards,25909,25909.28
FY 2011-12,127,Department of Health,S,Refunds of amounts credited to revenues in previous years,687771,687770.82
FY 2011-12,127,Department of Health,S,Salary and Motor Car Allowance,77536,77536.36
FY 2011-12,127,Department of Health,S,Spending of proceeds from the disposal of surplus Crown assets,494907,122593.66
FY 2011-12,128,Department of Employment and Social Development,1,Operating/Program,783436633,769346179
FY 2011-12,128,Department of Employment and Social Development,5,Grants & Contributions,1868885713,1647406307
FY 2011-12,128,Department of Employment and Social Development,7,Debt Forgiveness,311768275,302417361
FY 2011-12,128,Department of Employment and Social Development,S,Allowance payments (Old Age Security Act),555962022,555962022.2
FY 2011-12,128,Department of Employment and Social Development,S,Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals with disabilities,70009827,70009827.14
FY 2011-12,128,Department of Employment and Social Development,S,Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities,142831948,142831948.1
FY 2011-12,128,Department of Employment and Social Development,S,Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children,691542116,691542116.2
FY 2011-12,128,Department of Employment and Social Development,S,Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families,88453542,88453542.28
FY 2011-12,128,Department of Employment and Social Development,S,Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,648936690,648936689.6
FY 2011-12,128,Department of Employment and Social Development,S,Civil Service Insurance actuarial liability adjustments,-12507,-12507
FY 2011-12,128,Department of Employment and Social Development,S,Contributions to employee benefit plans,259792635,259792634.6
FY 2011-12,128,Department of Employment and Social Development,S,Energy Cost Benefit,-7875,-7875
FY 2011-12,128,Department of Employment and Social Development,S,Guaranteed Income Supplement Payments (Old Age Security Act),8638062109,8638062109
FY 2011-12,128,Department of Employment and Social Development,S,Old Age Security payments (Old Age Security Act),28868796840,28868796840
FY 2011-12,128,Department of Employment and Social Development,S,Payments of compensation respecting government employees (Government Employees Compensation Act) and merchant seamen (Merchant Seamen Compensation Act),43865837,43865836.23
FY 2011-12,128,Department of Employment and Social Development,S,Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act,493520224,493520224
FY 2011-12,128,Department of Employment and Social Development,S,Refunds of amounts credited to revenues in previous years,21015,21015.1
FY 2011-12,128,Department of Employment and Social Development,S,Salary and Motor Car Allowance,157093,157093
FY 2011-12,128,Department of Employment and Social Development,S,Spending of proceeds from the disposal of surplus Crown assets,230508,79656.81
