"fy_ef","organization","estimates_document","statutory_item","authorities"
"FY 2013-14","Department of Canadian Heritage","Main Estimates","Supplementary retirement benefits - Former Lieutenant Governors",182000
"FY 2013-14","Department of Canadian Heritage","Main Estimates","Salaries of the Lieutenant Governors",1196000
"FY 2013-14","Department of Canadian Heritage","Main Estimates","Salary and Motor Car Allowance",81102
"FY 2013-14","Department of Canadian Heritage","Main Estimates","Payments under the Lieutenant Governors Superannuation Act",637000
"FY 2013-14","Department of Canadian Heritage","Main Estimates","Contributions to employee benefit plans",20648944
"FY 2013-14","Department of Citizenship and Immigration","Main Estimates","Fees returned in connection with a terminated application",95500000
"FY 2013-14","Department of Citizenship and Immigration","Main Estimates","Contributions to employee benefit plans",57359614
"FY 2013-14","Department of Citizenship and Immigration","Main Estimates","Salary and Motor Car Allowance",79102
"FY 2013-14","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Contributions to employee benefit plans",70304345
"FY 2013-14","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Settlement Acts",73762322
"FY 2013-14","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Payments to comprehensive claim beneficiaries in compensation for resource royalties",2606289
"FY 2013-14","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Salary and Motor Car Allowance",79102
"FY 2013-14","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Grant to the Nunatsiavut Government for the implementation of the Labrador Inuit Land Claims Agreement pursuant to the Labrador Inuit Land Claims Agreement Act",8994000
"FY 2013-14","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Indian Annuities Treaty payments",1400000
"FY 2013-14","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Liabilities in respect of loan guarantees made to Indians for Housing and Economic Development",2000000
"FY 2013-14","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Grassy Narrows and Islington Bands Mercury Disability Board",15000
"FY 2013-14","Department of Employment and Social Development","Main Estimates","The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act",-9496875
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employers who are either bankrupt or in receivership as well as payments to trustees and receivers who will provide the necessary information to determine eligibility",49250000
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children",754000000
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals with disabilities",76900000
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Transfer Payments in Connection with the Budget Implementation Act",6000000
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act",566746076
"FY 2013-14","Department of Employment and Social Development","Main Estimates","The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act",10627478
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Universal Child Care Benefit (Universal Child Care Benefit Act)",2788000000
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act",645325114
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities",222600000
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Salary and Motor Car Allowance",160204
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Allowance payments (Old Age Security Act)",546850256
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Old Age Security payments (Old Age Security Act)",32351573995
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Guaranteed Income Supplement Payments (Old Age Security Act)",9735348031
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Supplementary retirement benefits — Annuities agents' pensions",35000
"FY 2013-14","Department of Employment and Social Development","Main Estimates","The provision of funds for interest payments to lending institutions under the Canada Student Loans Act",1826
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Contributions to employee benefit plans",224592036
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Civil Service Insurance actuarial liability adjustments",145000
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families",128000000
"FY 2013-14","Department of Employment and Social Development","Main Estimates","Payments of compensation respecting government employees (Government Employees Compensation Act) and merchant seamen (Merchant Seamen Compensation Act)",40000000
"FY 2013-14","Department of Finance","Main Estimates","Additional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act)",89461000
"FY 2013-14","Department of Finance","Main Estimates","Interest on Unmatured Debt",18401000000
"FY 2013-14","Department of Finance","Main Estimates","Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",32149329
"FY 2013-14","Department of Finance","Main Estimates","Salary and Motor Car Allowance",81102
"FY 2013-14","Department of Finance","Main Estimates","Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)",-3499933000
"FY 2013-14","Department of Finance","Main Estimates","Purchase of Domestic Coinage",126500000
"FY 2013-14","Department of Finance","Main Estimates","Payment to the International Bank for reconstruction and development for the Agriculture Advance Market commitment (Bretton Woods and Related Agreements Act, section 8)",10000000
"FY 2013-14","Department of Finance","Main Estimates","Additional fiscal equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act)",245785000
"FY 2013-14","Department of Finance","Main Estimates","Payments to International Development Association",441610000
"FY 2013-14","Department of Finance","Main Estimates","Contributions to employee benefit plans",12203454
"FY 2013-14","Department of Finance","Main Estimates","Other Interest Costs",8733000000
"FY 2013-14","Department of Finance","Main Estimates","Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act)",3288281700
"FY 2013-14","Department of Finance","Main Estimates","Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)",30283114000
"FY 2013-14","Department of Finance","Main Estimates","Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act)",16105194000
"FY 2013-14","Department of Finance","Main Estimates","Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-770280000
"FY 2013-14","Department of Finance","Main Estimates","Payments to provinces regarding sales tax harmonization (Part III,I -Federal-Provincial Fiscal Arrangements Act)",1481000000
"FY 2013-14","Department of Finance","Main Estimates","Wait Times Reduction Transfer (PartV.1) Federal-Provincial Fiscal Arrangements Act)",250000000
"FY 2013-14","Department of Finance","Main Estimates","Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)",12215271000
"FY 2013-14","Department of Finance","Main Estimates","Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act",51200000
"FY 2013-14","Department of Fisheries and Oceans","Main Estimates","Contributions to employee benefit plans",129897782
"FY 2013-14","Department of Fisheries and Oceans","Main Estimates","Salary and Motor Car Allowance",79102
"FY 2013-14","Department of Foreign Affairs, Trade and Development","Main Estimates","Contributions to employee benefit plans",81367216
"FY 2013-14","Department of Foreign Affairs, Trade and Development","Main Estimates","Salary and Motor Car Allowance",160204
"FY 2013-14","Department of Foreign Affairs, Trade and Development","Main Estimates","Passport Canada Revolving Fund (Revolving Funds Act)",70373000
"FY 2013-14","Department of Foreign Affairs, Trade and Development","Main Estimates","Payments under the Diplomatic Service (Special) Superannuation Act",250000
"FY 2013-14","Department of Health","Main Estimates","Salary and Motor Car Allowance",79102
"FY 2013-14","Department of Health","Main Estimates","Contributions to employee benefit plans",126169222
"FY 2013-14","Department of Housing, Infrastructure and Communities","Main Estimates","Contributions to employee benefit plans",4986059
"FY 2013-14","Department of Industry","Main Estimates","Salary and Motor Car Allowance",83102
"FY 2013-14","Department of Industry","Main Estimates","Grant and Contribution to Genome Canada",57100000
"FY 2013-14","Department of Industry","Main Estimates","Canadian Intellectual Property Office Revolving Fund",17604331
"FY 2013-14","Department of Industry","Main Estimates","Contributions to employee benefit plans",53619205
"FY 2013-14","Department of Industry","Main Estimates","Liabilities under the Canada Small Business Financing Act",86386000
"FY 2013-14","Department of Justice","Main Estimates","Contributions to employee benefit plans",79776724
"FY 2013-14","Department of Justice","Main Estimates","Salary and Motor Car Allowance",79102
"FY 2013-14","Department of National Defence","Main Estimates","Payments under the Supplementary Retirement Benefits Act",4492604
"FY 2013-14","Department of National Defence","Main Estimates","Contributions to employee benefit plans (Members of the Military)",1022618246
"FY 2013-14","Department of National Defence","Main Estimates","Payments to dependants of certain members of the Royal Canadian Air Force killed while serving as instructors under British Commonwealth Air Training Plan (Appropriation Act No. 4, 1968)",24100
"FY 2013-14","Department of National Defence","Main Estimates","Contributions to employee benefit plans",309756941
"FY 2013-14","Department of National Defence","Main Estimates","Payments under Parts I-IV of the Defence Services Pension Continuation Act",929668
"FY 2013-14","Department of National Defence","Main Estimates","Salary and Motor Car Allowance",158204
"FY 2013-14","Department of Natural Resources","Main Estimates","Salary and Motor Car Allowance",79102
"FY 2013-14","Department of Natural Resources","Main Estimates","Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund",1142062000
"FY 2013-14","Department of Natural Resources","Main Estimates","Contributions to employee benefit plans",59706197
"FY 2013-14","Department of Natural Resources","Main Estimates","Payments of the Crown Share Adjustment for Nova Scotia Offshore Petroleum Resources",22460000
"FY 2013-14","Department of Natural Resources","Main Estimates","Contribution to the Canada/Newfoundland Offshore Petroleum Board",7756000
"FY 2013-14","Department of Natural Resources","Main Estimates","Contribution to the Canada/Nova Scotia Offshore Petroleum Board",3550000
"FY 2013-14","Department of Natural Resources","Main Estimates","Payments to the Nova Scotia Offshore Revenue Account",79339000
"FY 2013-14","Department of Public Safety and Emergency Preparedness","Main Estimates","Contributions to employee benefit plans",15860930
"FY 2013-14","Department of Public Safety and Emergency Preparedness","Main Estimates","Salary and Motor Car Allowance",79102
"FY 2013-14","Department of Public Works and Government Services","Main Estimates","Salary and Motor Car Allowance",79102
"FY 2013-14","Department of Public Works and Government Services","Main Estimates","Translation Bureau Revolving Fund",7022229
"FY 2013-14","Department of Public Works and Government Services","Main Estimates","Contributions to employee benefit plans",114739046
"FY 2013-14","Department of Public Works and Government Services","Main Estimates","Optional Services Revolving Fund",8484366
"FY 2013-14","Department of Public Works and Government Services","Main Estimates","Real Property Services Revolving Fund",10000000
"FY 2013-14","Department of Transport","Main Estimates","Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act",94200000
"FY 2013-14","Department of Transport","Main Estimates","Northumberland Strait Crossing Subsidy Payment under the Northumberland Strait Crossing Act",61582525
"FY 2013-14","Department of Transport","Main Estimates","Contributions to employee benefit plans",72569973
"FY 2013-14","Department of Transport","Main Estimates","Salary and Motor Car Allowance",81102
"FY 2013-14","Department of Transport","Main Estimates","Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the portion of the bridge",3300000
"FY 2013-14","Department of Veterans Affairs","Main Estimates","Salary and Motor Car Allowance",79102
"FY 2013-14","Department of Veterans Affairs","Main Estimates","Returned Soldiers Insurance Actuarial Liability Adjustment",10000
"FY 2013-14","Department of Veterans Affairs","Main Estimates","Contributions to employee benefit plans",39394993
"FY 2013-14","Department of Veterans Affairs","Main Estimates","Re-establishment credits under section 8 of the War Service Grants Act",12000
"FY 2013-14","Department of Veterans Affairs","Main Estimates","Veterans Insurance Actuarial Liability Adjustment",175000
"FY 2013-14","Department of Western Economic Diversification","Main Estimates","Contributions to employee benefit plans",4889451
"FY 2013-14","Department of Western Economic Diversification","Main Estimates","Salary and Motor Car Allowance",2000
"FY 2013-14","Department of the Environment","Main Estimates","Contributions to employee benefit plans",88749822
"FY 2013-14","Department of the Environment","Main Estimates","Salary and Motor Car Allowance",79102
"FY 2013-14","Economic Development Agency of Canada for the Regions of Quebec","Main Estimates","Contributions to employee benefit plans",4929289
"FY 2013-14","Federal Economic Development Agency for Southern Ontario","Main Estimates","Contributions to employee benefit plans",3149796
"FY 2013-14","Financial Transactions and Reports Analysis Centre of Canada","Main Estimates","Contributions to employee benefit plans",5658585
"FY 2013-14","Hazardous Materials Information Review Commission","Main Estimates","Contributions to employee benefit plans",489312
"FY 2013-14","House of Commons","Main Estimates","Contributions to employee benefit plans",35924165
"FY 2013-14","House of Commons","Main Estimates","Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account",112061179
"FY 2013-14","Immigration and Refugee Board","Main Estimates","Contributions to employee benefit plans",14492640
"FY 2013-14","Impact Assessment Agency of Canada","Main Estimates","Contributions to employee benefit plans",2863886
"FY 2013-14","Indian Residential Schools Truth and Reconciliation Commission","Main Estimates","Contributions to employee benefit plans",92179
"FY 2013-14","International Joint Commission (Canadian Section)","Main Estimates","Contributions to employee benefit plans",635353
"FY 2013-14","Library and Archives of Canada","Main Estimates","Contributions to employee benefit plans",10177677
"FY 2013-14","Library of Parliament","Main Estimates","Contributions to employee benefit plans",5132478
"FY 2013-14","Military Grievances External Review Committee","Main Estimates","Contributions to employee benefit plans",607519
"FY 2013-14","Military Police Complaints Commission","Main Estimates","Contributions to employee benefit plans",344630
"FY 2013-14","National Research Council of Canada","Main Estimates","Spending of revenues pursuant to paragraph 5(1)(e) of the National Research Council Act",142000000
"FY 2013-14","National Research Council of Canada","Main Estimates","Contributions to employee benefit plans",40238233
"FY 2013-14","National Security and Intelligence Review Agency Secretariat","Main Estimates","Contributions to employee benefit plans",320297
"FY 2013-14","Natural Sciences and Engineering Research Council","Main Estimates","Contributions to employee benefit plans",5120588
"FY 2013-14","Northern Pipeline Agency","Main Estimates","Contributions to employee benefit plans",120930
"FY 2013-14","Office of the Auditor General","Main Estimates","Contributions to employee benefit plans",10232880
"FY 2013-14","Office of the Chief Electoral Officer","Main Estimates","Expenses under Electoral Boundary Readjustment Act",1539187
"FY 2013-14","Office of the Chief Electoral Officer","Main Estimates","Salary of the Chief Electoral Officer",288100
"FY 2013-14","Office of the Chief Electoral Officer","Main Estimates","Contributions to employee benefit plans",6625283
"FY 2013-14","Office of the Chief Electoral Officer","Main Estimates","Electoral expenditures",77320242
"FY 2013-14","Office of the Commissioner for Federal Judicial Affairs","Main Estimates","Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",487534826
"FY 2013-14","Office of the Commissioner for Federal Judicial Affairs","Main Estimates","Contributions to employee benefit plans",785778
"FY 2013-14","Office of the Commissioner of Lobbying","Main Estimates","Contributions to employee benefit plans",434784
"FY 2013-14","Office of the Commissioner of Official Languages","Main Estimates","Contributions to employee benefit plans",2250180
"FY 2013-14","Office of the Conflict of Interest and Ethics Commissioner","Main Estimates","Contributions to employee benefit plans",800421
"FY 2013-14","Office of the Correctional Investigator of Canada","Main Estimates","Contributions to employee benefit plans",566948
"FY 2013-14","Office of the Director of Public Prosecutions","Main Estimates","Contributions to employee benefit plans",18247860
"FY 2013-14","Office of the Governor General's Secretary","Main Estimates","Contributions to employee benefit plans",2106176
"FY 2013-14","Office of the Governor General's Secretary","Main Estimates","Salary of the Governor General",270602
"FY 2013-14","Office of the Governor General's Secretary","Main Estimates","Annuities payable under the Governor General's Act",545000
"FY 2013-14","Office of the Intelligence Commissioner","Main Estimates","Contributions to employee benefit plans",134008
"FY 2013-14","Office of the Public Sector Integrity Commissioner","Main Estimates","Contributions to employee benefit plans",520799
"FY 2013-14","Office of the Senate Ethics Officer","Main Estimates","Contributions to employee benefit plans",104400
"FY 2013-14","Offices of the Information and Privacy Commissioners of Canada","Main Estimates","Contributions to employee benefit plans",3830250
"FY 2013-14","Parks Canada Agency","Main Estimates","Contributions to employee benefit plans",48592513
"FY 2013-14","Parks Canada Agency","Main Estimates","Expenditures equivalent to revenues resulting from the conduct of operations pursuant to section 20 of the Parks Canada Agency Act",111000000
"FY 2013-14","Parole Board of Canada","Main Estimates","Contributions to employee benefit plans",6240763
"FY 2013-14","Patented Medicine Prices Review Board","Main Estimates","Contributions to employee benefit plans",1025633
"FY 2013-14","Privy Council Office","Main Estimates","Contributions to employee benefit plans",13997460
"FY 2013-14","Privy Council Office","Main Estimates","Salary and Motor Car Allowance",404349
"FY 2013-14","Public Health Agency of Canada","Main Estimates","Contributions to employee benefit plans",32120776
"FY 2013-14","Public Service Commission","Main Estimates","Contributions to employee benefit plans",13170904
"FY 2013-14","Public Service Labour Relations Board","Main Estimates","Contributions to employee benefit plans",1304347
"FY 2013-14","Public Service Staffing Tribunal","Main Estimates","Contributions to employee benefit plans",611000
"FY 2013-14","Registrar of the Supreme Court of Canada","Main Estimates","Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",6371407
"FY 2013-14","Registrar of the Supreme Court of Canada","Main Estimates","Contributions to employee benefit plans",2382068
"FY 2013-14","Registry of the Competition Tribunal","Main Estimates","Contributions to employee benefit plans",164414
"FY 2013-14","Registry of the Public Servants Disclosure Protection Tribunal","Main Estimates","Contributions to employee benefit plans",188284
"FY 2013-14","Registry of the Specific Claims Tribunal","Main Estimates","Contributions to employee benefit plans",824
"FY 2013-14","Royal Canadian Mounted Police","Main Estimates","Contributions to employee benefit plans",92880107
"FY 2013-14","Royal Canadian Mounted Police","Main Estimates","Pensions and other employee benefits - Members of the Force",371520429
"FY 2013-14","Royal Canadian Mounted Police","Main Estimates","Pensions under the Royal Canadian Mounted Police Pension Continuation Act",14000000
"FY 2013-14","Royal Canadian Mounted Police External Review Committee","Main Estimates","Contributions to employee benefit plans",103639
"FY 2013-14","Senate","Main Estimates","Officers and Members of the Senate - Salaries, allowances and other payments to the Speaker of the Senate, Members and other officers of the Senate under the Parliament of Canada Act; contributions to the Members of Parliament Retiring Allowances Account and Members of Parliament Retirement Compensation Arrangements Account",26690200
"FY 2013-14","Senate","Main Estimates","Contributions to employee benefit plans",7657013
"FY 2013-14","Shared Services Canada","Main Estimates","Contributions to employee benefit plans",99952971
"FY 2013-14","Social Sciences and Humanities Research Council","Main Estimates","Contributions to employee benefit plans",2610109
"FY 2013-14","Statistics Canada","Main Estimates","Contributions to employee benefit plans",62167097
"FY 2013-14","The National Battlefields Commission","Main Estimates","Contributions to employee benefit plans",370872
"FY 2013-14","The National Battlefields Commission","Main Estimates","Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act",1800000
"FY 2013-14","Transportation Appeal Tribunal of Canada","Main Estimates","Contributions to employee benefit plans",126850
"FY 2013-14","Treasury Board Secretariat","Main Estimates","Contributions to employee benefit plans",28001490
"FY 2013-14","Treasury Board Secretariat","Main Estimates","Payments under the Public Service Pension Adjustment Act",20000
"FY 2013-14","Treasury Board Secretariat","Main Estimates","Salary and Motor Car Allowance",79102
"FY 2013-14","Veterans Review and Appeal Board","Main Estimates","Contributions to employee benefit plans",1561662
"FY 2013-14","Canadian Grain Commission","Supplementary Estimates A","Contributions to employee benefit plans",2952519
"FY 2013-14","Department of Agriculture and Agri-Food","Supplementary Estimates A","Contributions to employee benefit plans",5201143
"FY 2013-14","Atlantic Canada Opportunities Agency","Supplementary Estimates B","Salary and Motor Car Allowance",2000
"FY 2013-14","Canada Border Services Agency","Supplementary Estimates B","Contributions to employee benefit plans",6768929
"FY 2013-14","Canadian Food Inspection Agency","Supplementary Estimates B","Contributions to employee benefit plans",4107192
"FY 2013-14","Canadian Institutes of Health Research","Supplementary Estimates B","Contributions to employee benefit plans",78436
"FY 2013-14","Canadian Nuclear Safety Commission","Supplementary Estimates B","Contributions to employee benefit plans",41321
"FY 2013-14","Canadian Transportation Accident Investigation and Safety Board","Supplementary Estimates B","Contributions to employee benefit plans",78000
"FY 2013-14","Civilian Review and Complaints Commission for the Royal Canadian Mounted Police","Supplementary Estimates B","Contributions to employee benefit plans",430341
"FY 2013-14","Communications Security Establishment","Supplementary Estimates B","Contributions to employee benefit plans",560774
"FY 2013-14","Department of Citizenship and Immigration","Supplementary Estimates B","Fees returned in connection with a terminated application",-31700000
"FY 2013-14","Department of Citizenship and Immigration","Supplementary Estimates B","Contributions to employee benefit plans",237346
"FY 2013-14","Department of Crown-Indigenous Relations and Northern Affairs","Supplementary Estimates B","Contributions to employee benefit plans",1121546
"FY 2013-14","Department of Crown-Indigenous Relations and Northern Affairs","Supplementary Estimates B","Contributions to Indspire (Budget 2013)",5000000
"FY 2013-14","Department of Employment and Social Development","Supplementary Estimates B","Contributions to employee benefit plans",615194
"FY 2013-14","Department of Employment and Social Development","Supplementary Estimates B","Salary and Motor Car Allowance",2000
"FY 2013-14","Department of Employment and Social Development","Supplementary Estimates B","Payments to the Canadian National Institute for the Blind for a national digital hub to improve library services for persons with a print disability (Budget 2013)",3000000
"FY 2013-14","Department of Finance","Supplementary Estimates B","Incentive for provinces to eliminate taxes on capital (Part IV Federal-Provincial Fiscal Arrangements Act)",34780000
"FY 2013-14","Department of Finance","Supplementary Estimates B","Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)",-32027000
"FY 2013-14","Department of Finance","Supplementary Estimates B","Canadian Securities Regulation Regime Transition Office (Canadian Securities Regulation Regime Transition Office Act)",5800000
"FY 2013-14","Department of Finance","Supplementary Estimates B","Interest on Unmatured Debt",-556000000
"FY 2013-14","Department of Finance","Supplementary Estimates B","Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-6462000
"FY 2013-14","Department of Finance","Supplementary Estimates B","Other Interest Costs",-56000000
"FY 2013-14","Department of Finance","Supplementary Estimates B","Additional Fiscal Equalization Payment - Total Transfer Protection (Economic Action Plan 2013 Act, No. 1, Section 111, which amends Part I of the Federal-Provincial Fiscal Arrangements Act)",55806000
"FY 2013-14","Department of Fisheries and Oceans","Supplementary Estimates B","Contributions to employee benefit plans",1896427
"FY 2013-14","Department of Foreign Affairs, Trade and Development","Supplementary Estimates B","Contributions to employee benefit plans",3391429
